apex,kind,evidence,server_count,foreign_hosted
402oracle.com,organization,endpoint_on_apex|verified_namespace,1,0
448c.org,organization,endpoint_on_apex|verified_namespace,1,0
4fetch.com,organization,endpoint_on_apex,1,1
530amodel.com,organization,endpoint_on_apex|verified_namespace,1,0
558686.xyz,organization,endpoint_on_apex|verified_namespace,1,0
5arz.com,organization,endpoint_on_apex,1,1
5pu357jdkqc3qynzkjvu3okgqy0ncsiy.lambda-url.us-east-1.on.aws,organization,endpoint_on_apex,1,1
636865636b73756d.com,organization,verified_namespace,1,0
68cxgfyr0.workers.dev,organization,endpoint_on_apex,1,1
6ducklearn.com,organization,endpoint_on_apex|verified_namespace,1,0
70ug3hqb29.execute-api.us-east-1.amazonaws.com,organization,endpoint_on_apex,1,1
787daily.com,organization,endpoint_on_apex,1,1
7qc1f4ft9d.execute-api.us-west-2.amazonaws.com,organization,endpoint_on_apex,1,1
80l.app,organization,endpoint_on_apex,1,1
869biz.com,organization,endpoint_on_apex|verified_namespace,1,0
8p5dmrjzl1.execute-api.eu-north-1.amazonaws.com,organization,endpoint_on_apex,1,1
91eaaf4b-0a31-4f81-971a-86dc09a31986-00-2a9kujnvh541f-mwardvi0.kirk.replit.dev,organization,verified_namespace,1,0
a0985344368.workers.dev,organization,endpoint_on_apex,1,1
a1.gallery,organization,endpoint_on_apex|verified_namespace,1,0
a11ychk.com,organization,verified_namespace,1,0
a2a-artifact-handoff.onrender.com,organization,endpoint_on_apex,1,1
a2a2p.com,organization,endpoint_on_apex|verified_namespace,1,0
a2abench-mcp-remote-405318049509.us-central1.run.app,organization,endpoint_on_apex,1,1
a2abench-mcp.web.app,organization,endpoint_on_apex,1,1
a2ainfrastructure.com,organization,endpoint_on_apex,1,1
a2awire.com,organization,endpoint_on_apex|verified_namespace,1,0
a2ax.fly.dev,organization,endpoint_on_apex,1,1
a2me.app,organization,endpoint_on_apex,1,1
a3eecosystem.com,organization,endpoint_on_apex|verified_namespace,1,0
aapl.se,organization,endpoint_on_apex|verified_namespace,1,0
aarna.ai,organization,endpoint_on_apex|verified_namespace,1,0
aatos.dev,organization,endpoint_on_apex|verified_namespace,1,0
