apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
postking.app,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,15,0.2.0-draft,2026-08-04
postlake.dev,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
postlia.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,13,0.2.0-draft,2026-08-04
postman.com,1,80,Connectable,,pass,fail,pass,pass,pass,fail,skip,pass,fail,mcp-json,modern,34,0.2.0-draft,2026-08-04
postproxy.dev,1,80,Connectable,,pass,fail,fail,pass,pass,fail,skip,pass,fail,mcp-server-card-json,modern,20,0.2.0-draft,2026-08-04
postrippl.com,1,80,Connectable,,pass,fail,fail,pass,pass,fail,skip,pass,fail,mcp-server-card-json,modern,20,0.2.0-draft,2026-08-04
potarix.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,28,0.2.0-draft,2026-08-04
potomacledger.com,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,pass,mcp-json,,14,0.2.0-draft,2026-08-04
potto.app,1,35,Discoverable,,fail,fail,fail,pass,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
powerdmarc.com,1,35,Discoverable,,fail,fail,fail,pass,skip,skip,skip,fail,fail,,,20,0.2.0-draft,2026-08-04
powerline.ai,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,15,0.2.0-draft,2026-08-04
powerpointengine.io,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,20,0.2.0-draft,2026-08-04
powerstationplatform.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,21,0.2.0-draft,2026-08-04
powersun.vip,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,13,0.2.0-draft,2026-08-04
ppn-hub.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,18,0.2.0-draft,2026-08-04
pptogo.com,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
praatmetjeboekhouding.nl,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,14,0.2.0-draft,2026-08-04
precis.finance,1,70,Connectable,,fail,fail,pass,fail,pass,pass,fail,fail,fail,,legacy,22,0.2.0-draft,2026-08-04
preclick.ai,1,75,Connectable,,fail,fail,pass,fail,pass,fail,skip,fail,pass,,legacy,21,0.2.0-draft,2026-08-04
prediction-markets-production-3e07.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,27,0.2.0-draft,2026-08-04
prediction-markets-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,27,0.2.0-draft,2026-08-04
prediction-router-chi.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,26,0.2.0-draft,2026-08-04
predictionmarketspicks.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,13,0.2.0-draft,2026-08-04
predictleads.com,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,16,0.2.0-draft,2026-08-04
