apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,D7,C1,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
solidus-x402.fly.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,3,0.4.0,2026-08-07
solinkify.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,30,0.4.0,2026-08-07
solknife.xyz,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
solo.io,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,23,0.4.0,2026-08-07
solonai.com,1,35,Discoverable,,fail,pass,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,20,0.4.0,2026-08-07
solvicus.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,18,0.4.0,2026-08-07
sombra.so,1,35,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,fail,fail,mcp-bare|mcp-server-card-json,,18,0.4.0,2026-08-07
somdewan.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
somewhere.tech,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,modern,23,0.4.0,2026-08-07
somosmaqui.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
somosvelora.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
somvia.app,1,50,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
sonas.work,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,18,0.4.0,2026-08-07
sonatype.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,37,0.4.0,2026-08-07
sonenta.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
songstoyoureyes.com,1,85,Connectable,,fail,fail,pass,fail,pass,pass,fail,skip,pass,fail,fail,,modern,22,0.4.0,2026-08-07
sonlightwindow.com,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,pass,skip,skip,pass,pass,ai-catalog|mcp-bare,,14,0.4.0,2026-08-07
sophon.consulting,1,85,Connectable,,pass,fail,pass,fail,pass,fail,fail,pass,skip,pass,pass,server-card-endpoint-relative|ai-catalog|mcp-server-card-json,legacy,46,0.4.0,2026-08-07
sophymarine.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
soracom.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,23,0.4.0,2026-08-07
sorsa.app,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,18,0.4.0,2026-08-07
sorted.fast,1,45,Discoverable,,pass,fail,fail,pass,fail,skip,pass,skip,skip,pass,fail,ai-catalog|mcp-json|mcp-server-card-json,,24,0.4.0,2026-08-07
sos-battery.sk,1,80,Connectable,,pass,fail,fail,fail,pass,pass,fail,pass,fail,pass,fail,mcp-json|mcp-server-card-json,legacy,25,0.4.0,2026-08-07
sota.io,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,modern,28,0.4.0,2026-08-07
soulcraftagency.com,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,22,0.4.0,2026-08-07
soullight.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,14,0.4.0,2026-08-07
source.parts,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,modern,27,0.4.0,2026-08-07
sourced.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,50,0.4.0,2026-08-07
sourcelibrary.org,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,20,0.4.0,2026-08-07
sourcemill.ai,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,12,0.4.0,2026-08-07
sourcey.com,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,28,0.4.0,2026-08-07
southlondonscientific.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,41,0.4.0,2026-08-07
sovantica.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,20,0.4.0,2026-08-07
